Zone,cluster,NewCap,unnamed: 0,net_cluster,region,tech,case,resource,zone,endcap,endenergycap,endchargecap,newcap,retcap,newenergycap,retenergycap,newchargecap,retchargecap,iter,resource_type,policy,cpa_id,lcoe,area,latitude,longitude,interconnect_annuity,state,m_landcover,m_primefarmland,exfacil,plfacil,m_hmi,m_popden,cpa_mw,name,cluster
1.0,2,547.1984210249494,62395,2,NY_Z_C&E,Onshore_Wind,0.1_12,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3000001,0,0,699.3000001,0,0,0,0,0,5,Onshore_Wind,1,72082,44.26497,60.25000056,42.40588857,-75.30317007,16198.945,New York,41.0,1.0,0.0,0.0,0.259992749,5.580912863,8.13375,Onshore_WindNY_Z_C&E2_5,2
1.0,2,547.1984210249494,62643,2,NY_Z_C&E,Onshore_Wind,0.1_16,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3,0,0,699.3,0,0,0,0,0,9,Onshore_Wind,1,71581,45.260098,23.24999933,43.80370798,-75.67886476,16938.416,New York,41.0,1.0,1.0,0.0,0.28286458,2.247311828,12.555,Onshore_WindNY_Z_C&E2_9,2
1.0,2,547.1984210249494,62853,2,NY_Z_C&E,Onshore_Wind,0.1_100,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3000002,0,0,699.3000002,0,0,0,0,0,3,Onshore_Wind,1,71581,45.260098,23.24999933,43.80370798,-75.67886476,16938.416,New York,41.0,1.0,1.0,0.0,0.28286458,2.247311828,12.555,Onshore_WindNY_Z_C&E2_3,2
1.0,2,547.1984210249494,62398,2,NY_Z_C&E,Onshore_Wind,0.1_12,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3000001,0,0,699.3000001,0,0,0,0,0,5,Onshore_Wind,1,71581,45.260098,23.24999933,43.80370798,-75.67886476,16938.416,New York,41.0,1.0,1.0,0.0,0.28286458,2.247311828,12.555,Onshore_WindNY_Z_C&E2_5,2
1.0,2,547.1984210249494,64380,2,NY_Z_C&E,Onshore_Wind,0.1_1,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.2999997,0,0,699.2999997,0,0,0,0,0,1,Onshore_Wind,1,71581,45.260098,23.24999933,43.80370798,-75.67886476,16938.416,New York,41.0,1.0,1.0,0.0,0.28286458,2.247311828,12.555,Onshore_WindNY_Z_C&E2_1,2
1.0,2,547.1984210249494,63203,2,NY_Z_C&E,Onshore_Wind,0.1_11,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3,0,0,699.3,0,0,0,0,0,4,Onshore_Wind,1,71581,45.260098,23.24999933,43.80370798,-75.67886476,16938.416,New York,41.0,1.0,1.0,0.0,0.28286458,2.247311828,12.555,Onshore_WindNY_Z_C&E2_4,2
1.0,2,547.1984210249494,63205,2,NY_Z_C&E,Onshore_Wind,0.1_11,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3,0,0,699.3,0,0,0,0,0,4,Onshore_Wind,1,71470,45.80019,34.74999996,43.55342399,-74.86885014,20741.902,New York,41.0,0.0,0.0,0.0,0.025194274,0.0,56.295,Onshore_WindNY_Z_C&E2_4,2
1.0,3,0.000239586845334,110319,3,NY_Z_C&E,Onshore_Wind,0.1_12,NY_Z_C&E_landbasedwind_class1_moderate_3,4,626.3,0,0,626.3,0,0,0,0,0,5,Onshore_Wind,1,71557,51.466095,69.99999989,43.56775952,-75.75567848,12168.926,New York,41.0,0.0,0.0,0.0,0.137839165,1.05,37.8,Onshore_WindNY_Z_C&E3_5,3
1.0,4,0.0002301903945114,124997,4,NY_Z_C&E,Onshore_Wind,0.1_100,NY_Z_C&E_landbasedwind_class1_moderate_4,4,947.0,0,0,947.0,0,0,0,0,0,3,Onshore_Wind,1,72092,46.822674,18.75000066,42.50716989,-75.1557572,15986.89,New York,41.0,0.0,0.0,0.0,0.259815811,9.12,2.53125,Onshore_WindNY_Z_C&E4_3,4
1.0,5,0.0001375926561029,131471,5,NY_Z_C&E,Onshore_Wind,0.1_12,NY_Z_C&E_landbasedwind_class1_moderate_5,4,593.7999985,0,0,593.7999985,0,0,0,0,0,5,Onshore_Wind,1,71759,61.458164,52.75000057,43.31995577,-75.02037008,13884.647,New York,41.0,1.0,0.0,0.0,0.230046393,3.327014218,14.2425,Onshore_WindNY_Z_C&E5_5,5
